word,cat_bit,dom_bit,pol_code,int_bit,tone_code,morph_bit,x1,x2,x3,x4,x5,x6,x7_hz,x7_norm,x8,x9_re,x9_norm,x10,x11,x11_ord,x12,L,a,b,x13_accent,x14_contour,x15_meter,x16_regularity,morph_type
헉헉,1,16384,2,2,2,1,5,8,4,2,3,3,300.0,2.78,8,4500.0,6.47,6,0,4,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(복합・이종)
헥헥,1,16384,2,2,1,1,4,8,4,2,5,3,1200.0,6.29,8,3200.0,5.89,6,0,4,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(복합・이종)
방글방글,4,2048,1,1,1,1,5,4,4,2,3,5,900.0,5.56,4,4500.0,6.47,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,1,REDUP(첩어・동일)
싱글싱글,4,2048,1,1,2,1,5,4,4,2,5,5,300.0,2.78,4,3200.0,5.89,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,1,REDUP(첩어・동일)
벙글벙글,4,2048,1,1,2,1,5,4,4,2,5,5,300.0,2.78,4,3200.0,5.89,3,cc,1,#708090,52.8,-2.1,-10.6,5,5,5,1,REDUP(첩어・동일)
싱긋,4,2048,1,1,2,2,5,5,4,2,3,5,300.0,2.78,5,4500.0,6.47,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(복합・이종)
방긋,4,2048,1,1,1,2,5,5,4,5,5,5,900.0,5.56,5,3200.0,5.89,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(복합・이종)
깔깔,1,2048,1,4,1,1,8,5,7,2,2,3,210.0,1.88,5,8500.0,7.55,3,0,4,#4B3621,24.5,6.4,16.8,5,5,5,8,COMPOUND(복합・이종)
껄껄,1,2048,1,4,2,1,7,5,7,2,2,3,240.0,2.22,5,8500.0,7.55,3,0,4,#800000,25.5,48.0,38.1,5,5,5,8,COMPOUND(복합・이종)
낄낄,1,2048,2,4,2,1,4,5,7,2,2,3,330.0,3.02,5,4500.0,6.47,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(복합・이종)
하하,1,2048,1,2,1,1,8,5,4,2,3,3,210.0,1.88,5,8500.0,7.55,3,0,4,#FFD700,86.9,-1.9,87.1,5,5,5,8,COMPOUND(복합・이종)
허허,1,2048,0,2,2,1,5,5,4,2,3,3,300.0,2.78,5,4500.0,6.47,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(복합・이종)
호호,1,2048,1,2,1,1,3,5,4,2,3,3,1500.0,6.86,5,4500.0,6.47,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(복합・이종)
히히,1,2048,1,2,2,1,4,5,4,2,3,3,330.0,3.02,5,4500.0,6.47,3,0,4,#708090,52.8,-2.1,-10.6,5,5,0,0,SUFFIX(어미변화)
피식,1,2048,0,2,2,2,4,8,7,2,2,3,330.0,3.02,8,4500.0,6.47,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(복합・이종)
떽떽,1,2048,2,4,1,1,4,8,7,7,2,3,1200.0,6.29,8,4500.0,6.47,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(복합・이종)
투덜투덜,4,2048,2,1,2,1,7,4,7,2,5,3,240.0,2.22,4,3200.0,5.89,3,hh,7,#FF0000,53.2,80.1,67.2,5,5,5,1,REDUP(첩어・동일)
궁시렁궁시렁,4,2048,2,1,2,1,5,4,4,2,3,5,300.0,2.78,4,4500.0,6.47,3,hh,7,#FF0000,53.2,80.1,67.2,5,5,5,1,REDUP(첩어・동일)
속닥속닥,1,64,1,4,1,1,3,8,4,2,3,3,1500.0,6.86,8,4500.0,6.47,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,1,REDUP(첩어・동일)
소근소근,1,64,1,1,2,1,5,4,4,2,3,5,300.0,2.78,4,4500.0,6.47,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,1,REDUP(첩어・동일)
웅성웅성,1,32,2,1,2,1,5,4,4,2,3,5,300.0,2.78,4,4500.0,6.47,3,cc,1,#708090,52.8,-2.1,-10.6,5,5,5,1,REDUP(첩어・동일)
와글와글,1,32,2,1,1,1,5,4,4,2,3,3,900.0,5.56,4,4500.0,6.47,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,1,REDUP(첩어・동일)
시끌벅적,4,32,1,4,2,16,7,8,7,2,5,3,240.0,2.22,8,3200.0,5.89,3,0,4,#800000,25.5,48.0,38.1,5,5,5,8,COMPOUND(복합・이종)
북적북적,4,32,1,1,2,1,5,8,4,5,5,3,300.0,2.78,8,3200.0,5.89,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,1,REDUP(첩어・동일)
말랑말랑,4,1,1,1,1,1,3,4,4,2,5,5,1500.0,6.86,4,3200.0,5.89,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,1,REDUP(첩어・동일)
몰랑몰랑,4,1,1,1,2,1,8,4,4,2,5,5,210.0,1.88,4,3200.0,5.89,3,0,4,#800000,25.5,48.0,38.1,5,5,5,1,REDUP(첩어・동일)
푹신푹신,4,1,1,2,2,1,7,8,7,2,5,5,240.0,2.22,8,3200.0,5.89,3,hh,7,#FF0000,53.2,80.1,67.2,5,5,5,1,REDUP(첩어・동일)
폭신폭신,4,1,1,2,1,1,1,8,7,2,5,5,2100.0,7.71,8,3200.0,5.89,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,1,REDUP(첩어・동일)
딱딱,4,1,0,4,1,1,3,8,7,7,5,3,1500.0,6.86,8,3200.0,5.89,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(복합・이종)
빳빳,4,1,0,4,1,1,3,5,7,7,5,3,1500.0,6.86,5,3200.0,5.89,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(복합・이종)
뻣뻣,4,1,2,4,2,1,7,5,7,7,5,3,240.0,2.22,5,3200.0,5.89,3,0,4,#800000,25.5,48.0,38.1,5,5,5,8,COMPOUND(복합・이종)
바삭바삭,2,257,1,1,1,1,3,8,4,2,3,3,1500.0,6.86,8,4500.0,6.47,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,1,REDUP(첩어・동일)
